Australia,Brazil,China,Finland,Germany,Iran,Italy,Japan,"Korea, South",Romania,Singapore,United Kingdom,US,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,,,day,1
0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
0.8,0,305.4,0,0,0,0,0.4,0.4,0,0.8,0,0.8,,,,
1,0,446.8,0,0.2,0,0,0.4,0.6,0,0.8,0,0.8,,,,
1,0,917.8,0,0.8,0,0,1,0.4,0,0.8,0,0.6,,,,
1.2,0,936.2,0.2,0.8,0,0,1,0.4,0,0.8,0,0.6,,,,
1,0,1213.2,0.2,0.8,0,0,1.4,0.2,0,1.2,0,0,,,,
0.8,0,1385,0.2,0.8,0,0.4,2.2,1.4,0,1.6,0.4,0.4,,,,
1.4,0,1276.4,0.2,0.8,0,0.4,2.6,1.6,0,1.8,0.4,0.6,,,,
1.2,0,2108.6,0,1.2,0,0.4,2.6,2.2,0,2.2,0.4,0.6,,,,
0.6,0,2315,0,1.6,0,0.4,1.8,2.2,0,1.6,0.4,1.2,,,,
0.8,0,2781,0,1.4,0,0,1.4,1,0,2.2,0,0.8,,,,
0.2,0,3109.8,0,0.8,0,0,0.4,1.4,0,2.4,0,0.6,,,,
0.4,0,2791.4,0,0.4,0,0,0.4,1.6,0,2,0,0.6,,,,
0.6,0,2878.8,0,0.2,0,0.2,1,1.8,0,2.4,0.2,0,,,,
0.4,0,2621.4,0,0.2,0,0.2,0.6,1.6,0,1.8,0.2,0,,,,
0.4,0,2477.8,0,0.4,0,0.2,0.8,1.2,0,2.4,0.2,0,,,,
0.2,0,2353.4,0,0.4,0,0.2,0.8,0.8,0,3.4,1.2,0,,,,
0,0,2055.2,0,0.6,0,0,0.2,0.8,0,3.4,1,0.2,,,,
0,0,1589,0,0.6,0,0,0.6,0.8,0,3.4,1.2,0.2,,,,
0,0,4013.2,0,0.4,0,0,0.4,0.6,0,3.6,1.2,0.4,,,,
0,0,4800.8,0,0.4,0,0,0.6,0.2,0,4.4,0.2,0.4,,,,
0,0,4805.4,0,0,0,0,3.4,0,0,5,0.2,0.2,,,,
0,0,5150.8,0,0,0,0,6.2,0.2,0,5,0,0.2,,,,
0,0,2507.8,0,0,0,0,7.6,0.4,0,3.8,0,0,,,,
0,0,1570.6,0,0,0,0,9,0.6,0,2.8,0,0,,,,
0,0,1241.2,0,0,0.4,0,8.2,0.6,0,2.4,0,0,,,,
0,0,912.8,0,0,1,0,7,15,0,1.8,0,0,,,,
0,0,623.2,0,0,3.6,3.4,7.8,34.8,0,1.6,0,0.4,,,,
0,0,558,0,0,5.6,11.8,9.6,80.4,0,0.8,0,0.4,,,,
0,0,480.6,0,0,8.2,30.4,12.6,114.2,0,1,0,0.4,,,,
0,0,432.8,0,0,11.2,45.2,13,145.8,0,1,0.8,7.6,,,,
0,0,440.8,0,0.2,15.4,60.4,13,154.6,0,1.2,0.8,7.2,,,,
0,0.2,233,0.2,2.2,22.2,78.2,13.4,165.6,0.2,1.6,0.8,8.4,,,,
0,0.2,315.6,0.2,6,40.4,100,13.4,232.8,0.2,0.8,1.2,8.6,,,,
0,0.2,337.4,0.2,6.4,65.4,131.8,13.8,300.8,0.6,0.8,1.4,1.8,,,,
2,0.4,320.4,0.4,12.4,99.6,161.2,14.2,434.6,0.6,2.2,2,3.4,,,,
2.4,0.2,353.2,0.8,20.6,167.8,248.2,13.4,495,0.4,2.6,4.6,3.4,,,,
3,0.2,307.2,0.8,22.6,251.2,276.2,12,513.8,0.4,3,5,8,,,,
4.8,0.2,266.6,0.8,29.6,389.6,322.8,13,569.8,0,3.4,6.2,11.6,,,,
5.4,0.4,206,0.6,36.6,465.8,392.2,18,494.2,0.2,1.6,12.6,16.2,,,,
5.6,0.4,121,1.2,70.4,507,432.8,20.8,470.4,0.6,2.2,16,28.6,,,,
6,2.2,110.8,1.8,102.2,649.2,520,29.2,451.6,1.2,4.4,24.8,32.8,,,,
4.8,2.2,101.8,1.8,120.6,697.4,676.2,33.6,371,1.2,5.6,31.2,56.8,,,,
4.8,3.2,87.4,3.4,155.6,728.8,857.2,34.2,338.6,2.2,8,37.6,73.8,,,,
7.2,4.2,64.6,3.6,138.8,729.6,1062.8,30.2,278,1.8,6.6,41.2,73.2,,,,
9.4,3.6,39.4,5,157.4,659,1102.6,32.2,184,3.2,6,44,139.4,,,,
13,5,30.2,8.8,221.8,635.4,1315.8,35.6,142.8,7.2,8,50.4,175.8,,,,
10.4,6.4,21.8,7.2,207.6,701.8,1017.4,27.4,111,6.8,5.6,37,229,,,,
21.8,25.2,17,25,499.8,840.6,1697.6,38,100.2,14.8,10,96,319.2,,,,
28.6,24,18,37,625.6,937.4,2201.6,38.4,114.6,19.6,10.4,152,353.6,,,,
33.8,24.8,16.4,37,777.4,987.6,2457,40,81.4,17.2,9.6,137.2,443.6,,,,
49.8,29.6,20.2,43.6,1038.8,983.2,3103.6,40,73.4,21.8,13,218.4,593.8,,,,
50.4,34,22.6,33.2,1116.4,961,2769.2,35.4,68.2,19,13.2,231.6,848.4,,,,
63.6,44.2,25,22.2,1548.4,926.4,2911.2,23.2,65.4,27.4,20.2,299.6,1011.2,,,,
76.8,91.8,30.6,31.2,1905,893.8,3257.6,17,80.6,29.2,23.8,314.2,2035.6,,,,
82.8,118.6,43.4,34.6,2515.2,930.6,3808.2,24.8,83.2,30,28.4,492.6,2893.6,,,,
123.8,140,49.4,40.4,2591.2,888.2,4414.4,25.8,95.8,36.6,33.2,621.4,3813.6,,,,
196.2,234.8,66.6,58,2509.2,855.4,4685,42.4,109.6,34.6,28.4,620.6,5098.6,,,,
200.2,260.6,68.4,60,2747.2,928.4,4578.4,40.8,79.2,59.8,32.8,802,6034,,,,
250.6,290.8,68.2,68.4,2627.6,1033.4,4431,46,77,97.2,34.6,830,6928,,,,
258.6,306.6,71.2,71.4,3022,1281.4,4161.6,60,67.6,107.8,39.8,914.6,8057.8,,,,
252.2,287.8,69.4,66.4,3813,1553.6,4290.2,57.2,56,119.2,45.6,1213.4,10112,,,,
292.2,298.6,79.8,68.2,4363,1856.6,4514.2,68,74.2,143.2,44.6,1603.8,11562,,,,
